,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ASSET ,TITLE,NAME ,YEAR,PROJECT,ADDED,BY,FILE NAME ,NOTES,,"
"
,,,Christo's Valley Curtain,"Ellen Hovde
Albert Maysles
David Maysles",1974,,10/05/2026,Jess,EllenHovde+AlbertMaysles+DavidMaysles_Christo'sValleyCurtain_1974_JY,,,
,,,Arcadia,Paul Wright,2017,,10/05/2026,Jess,PaulWright_Arcadia_2017_JY,,,
,,,The Vasulka Effect: Grandparents of Video Art,Hrafnhildur Gunnarsdóttir,2019,,10/05/2026,Jess,HrafnhildurGunnarsdòttir_TheVasulkaEffect:TheGrandparentsofVideoArt_2019_JY,,,
,,,How Not to Be Seen: A Fucking Didactic Educational,Hito Steyerl,2013,,10/05/2026,Jess,HitoSteyerl_HowNottoBeSeen:AFuckingDidacticEducational_2013_JY,,,
,,,As You See,Harun Farocki,1986,,10/05/2026,Jess,HarunFarocki_AsYouSee_1986_JY,,,
,,,Cinema in the Round,Mark Leckey,2008,,10/05/2026,Jess,MarkLeckey_CinemaintheRound_2008_JY,,,
,,,Workers Leaving the Lumière Factory,Louis Lumière,1895,,10/05/2026,Jess,LouisLumière_WorkersLeavingtheLumièreFactory_1895_JY,,,
,,,A Trip to the Moon,Georges Méliès,1902,,10/05/2026,Jess,GeorgesMéliès_ATriptotheMoon_1902_JY,,,
,,,Goin' On,William McRae,1981,,10/05/2026,Jess,WilliamMcRae_Goin'On_1981_JY,,,
,,,"David Foster Wallace on Reading, Consumerism, and American Politics",Manufacturing Intellect (YouTube Channel),2003,,10/05/2026,Jess,"ManufacturingIntellect(YouTubeChannel)_DavidFosterWallaceonReading,Consumerism,andAmericanPolitics_2003_JY",,,
,,,Michael Jackson Scream (Music Video) ,Brian Drucker,2009,,12/05/2026,Cynthia,BrianDrucker_MichaelJacksonScream(MusicVideo)_2009_CI,,,
,,,City of God,"Kátia Lund
Fernando Meirelles",2002,,12/05/2026,Cynthia,KátiaLund+FernandoMeirelles_CityofGod_2002_CI,,,
,,,Hero,Zhang Yimou,2002,,12/05/2026,Cynthia,ZhangYimou_Hero_2002_CI,,,
,,,Medicine for Melancholy,Barry Jenkins,2008,,12/05/2026,Cynthia,BarryJenkins_MedicineforMelancholy_2008_CI,,,
,,,Mulholland Drive,David Lynch,2001,,12/05/2026,Cynthia,DavidLynch_MulhollandDrive_2001_CI,,,
,,,Akira,Katsuhiro Otomo,1988,,12/05/2026,Cynthia,KatsuhiroOtomo_Akira_1988_CI,,,
,,,Perfect Blue,Satoshi Kon,1997,,12/05/2026,Cynthia,SatoshiKon_PerfectBlue_1997_CI,,,
