,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",
,,,,,,"Hi Maggie, thanks so much I would ike to inclide the album title here also.",,,,,,,
,,,,,,"I might have added to many songs from a project on the folder. I don't think we need to add more than 2 per project max. that's why highlighting the album is key I think, please add the link also ",,,,,,,
,,ASSET ,TITLE,NAME ,ALBUM,YEAR,PROJECT,ADDED,BY,FILE NAME ,NOTES,,"
"
,,,,Sister Irene O'Connor,,,,10/05/2026,Jess,,,,
,,,,Les Voix Mystere des Voix Bulgares,,,,10/05/2026,Jess,,,,
,,,SASSY,"Joanne Robertson
Dean Blunt",Backstage Raver,2024,,11/05/2026,Cynthia,JoanneRobertson+DeanBlunt_SASSY_BackstageRaver_2024_CI,,,
,,,Carrier,Forma Norte,Forma Norte II,2022,,11/05/2026,Cynthia,FormaNorte_Carrier_FormaNorteII_2022_CI,,,
,,,For Your Precious Love,Linda Jones,Your Precious Love,1972,,11/05/2026,Cynthia,LindaJones_ForYourPreciousLove_YourPreciousLove_1972_CI,,,
,,,From the Moon,Detente,Ghosts,2024,,11/05/2026,Cynthia,Detente_FromtheMoon_Ghosts_2024_CI,,,
,,,For You ,Prince,For You ,1978,,11/05/2026,Cynthia,Prince_ForYou_ForYou_1978_CI,,,
,,,I Need Your Love,"Lee Tracy
Isaac Manning",Is It What You Want,2022,,11/05/2026,Cynthia,LeeTracy+IsaacManning_INeedYourLove_IsItWhatYouWant_2022_CI,,,
,,,Spring Is Coming With a Strawberry In the Mouth ,Roger Doyle,"Operating Theatre the Early Years, Vol. 2",2012,,11/05/2026,Cynthia,RogerDoyle_SpringIsComingWithaStrawberryIntheMouth_2012_CI,,,
,,,Falling,Julee Cruise,Floating Into the Night,1989,,11/05/2026,Cynthia,JuleeCruise_Falling_1989_CI,,,
,,,Quiet Light,Aurora,Pure Hearts,2025,,11/05/2026,Cynthia,Aurora_QuietLight_2025_CI,,,
,,,Euphoria,Ssaliva,I'm the One with No Soul,2020,,11/05/2026,Cynthia,Ssaliva_Euphoria_2020_CI,,,
,,,Black,"Wowjean
NAPPYNAPPA",Black,2026,,11/05/2026,Cynthia,Wowjean+NAPPYNAPPA_Black_2026_CI,,,
,,,There's Not a Friend,Thomas Whitfield,"Unforgettable Years Collection, Vol. 1",1992,,11/05/2026,Cynthia,ThomasWhitfield_There'sNotaFriend_1992_CI,,,
,,,Devotions,KeiyaA,hooke's law,2025,,11/05/2026,Cynthia,KeiyaA_Devotions_2025_CI,,,
,,,Hunger,MIKE,MAY GOD BLESS YOUR HUSTLE,2017,,11/05/2026,Cynthia,MIKE_Hunger_2017_CI,,,
,,,We're Both Alone,Rocketship,"A Certain Smile, a Certain Sadness",1995,,11/05/2026,Cynthia,Rocketship_We'reBothAlone_1995_CI,,,
,,,Make It On Your Own,Donny Hathaway,Someday We'll All Be Free,1978,,11/05/2026,Cynthia,DonnyHathaway_MakeItOnYourOwn_1978_CI,,,
,,,S.I.T.W.S.M.,S.Maharba,S.Maharba,2012,,11/05/2026,Cynthia,S.Maharba_S.I.T.W.S.M._2012_CI,,,
,,,I Miss You (feat. Teddy Pendergrass),"Harold Melvin & The Blue Notes
Teddy Pendergrass","Harold Melvin & The Blue Notes
Teddy Pendergrass",1972,,11/05/2026,Cynthia,HaroldMelvin&TheBlueNotes+TeddyPendergrass_IMissYou(feat.TeddyPendergrass)_1972_CI,,,
,,,FALLING RIZLAS,Actress,AZD,2017,,11/05/2026,Cynthia,Actress_FALLINGRIZLAS_2017_CI,,,
,,,Not Checking Up,Arthur Russell,Not Checking Up,2019,,11/05/2026,Cynthia,ArthurRussell_NotCheckingUp_2019_CI,,,
,,,"I HAVE SEEN ALL THE THINGS THAT ARE UNDER THE SUN; all of them are meaningless, a chasing after the wind",Bo Khat Eternal Troof Family Band,TUFIAKAWA!,2020,,11/05/2026,Cynthia,"BoKhatEternalTroofFamilyBand_IHAVESEENALLTHINGSTHATAREUNDERTHESUN;allofthemaremeaningless,achasingafterthewind_2020_CI",,,
,,,GEEWIZ,454,FAST TRAX 3,2022,,11/05/2026,Cynthia,454_GEEWIZ_2022_CI,,,
,,,The Upper Way,The Violinaires,The Upper Way,1972,,11/05/2026,Cynthia,TheViolinaires_TheUpperWay_1972_CI,,,
,,,Rated X,Miles Davis,Get Up With It,1974,,11/05/2026,Cynthia,MilesDavis_RatedX_1974_CI,,,
,,,Trapping in C Major,Klein,Harmattan,2021,,11/05/2026,Cynthia,Klein_TrappinginCMajor_2021_CI,,,
,,,Doubt,"Joanne Robertson
Oliver Coates",Blurrr,2025,,11/05/2026,Cynthia,JoanneRobertson+OliverCoates_Doubt_2025_CI,,,
,,,Pressure,Nicole,Make it Hot,1998,,11/05/2026,Cynthia,Nicole_Pressure_1998_CI,,,
,,,Your Are My Joy (interlude),Faith Evans,Faith,1995,,11/05/2026,Cynthia,FaithEvans_YouAreMyJoy(interlude)_1995_CI,,,
,,,Drinking Age,Cameron Winter,Heavy Metal,2024,,11/05/2026,Cynthia,CameronWinter_DrinkingAge_2024_CI,,,
