,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ASSET ,TITLE,NAME,YEAR,COPYRIGHT,PROJECT,ADDED,BY,FILE NAME ,NOTES,"
"
,,,Exploring Degrowth: A Critical Guide,"Anitra Nelson 
Vincent Liegey
",2020,,,05/05/2026,Cynthia Igbokwe,Anitra Nelson+Vincent Liegey_ExploringDegrowth:ACriticalGuide_2020_05052026_CI,,
,,,"Power/Knowledge: Selected Interviews and Other Writings, 1972-1977 ",Michel Foucault ,1980,,,05/05/2026,Cynthia Igbokwe,MichelFoucault_Power/Knowledge:SelectedInterviewsandOtherWritings1972-1977_1980_05052026_CI ,,
,,,Philosophy of the Home: Domestic Space and Happiness,Emenuale Coccia,2024,,,06/05/2026,Jess Young,EmenualeCoccia_PhilosophyoftheHome_2024_N/A,,
,,,Ways of Seeing,John Berger,1972,,,06/05/2026,Jess Young,JohnBerger_WaysofSeeing_1972_JY,,
,,,Portraits: John Berger on Artists,John Berger,2017,,,06/05/2026,Jess Young,JohnBerger_Portraits:JohnBergeronArtists_2017_JY,,
,,,Ways of Curating,Jans Ulrich Obrist,2014,,,06/05/2026,Jess Young,HansUlrichObrist_WaysofCurating_2014_JY,,
,,,Perfection,Vincenzo Latronico,2025,,,06/05/2026,Jess Young,VincenzoLatronico_Perfection_2025_JY,,
,,,Trophy Lives: On the Celebrity as an Art Object,Philippa Snow,2024,,,06/05/2026,Jess Young,PhilippaSnow_TrophyLives:OntheCelebrityasanArtObject_2024_JY,,
,,,The Right to Sex,Amia Srinivasan,2021,,,06/05/2026,Jess Young,AmiaSrinivasan_TheRighttoSex_2021_JY,,
,,,Walking Through Clear Water In a Pool Painted Black,Cookie Mueller,2022,,,06/05/2026,Jess Young,CookieMueller_WalkingThroughClearWaterInaPoolPaintedBlack_2022_JY,,
,,,Of Boys and Men,Richard Reeves,2023,,,06/05/2026,Jess Young,RichardReeves_OfBoysandMen_2023_JY,,
,,,Designing in Coexistence: Reflections on Systemic Change,Croatian Architects' Association,2023,,,06/05/2026,Jess Young,CroatianArchitects'Association_DesigninginCoexistence:ReflectionsonSystemicChange_2023_JY,,
